Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Austria,6.613999844,6.385000229,6.243999958,6.599999905,6.686999798,6.546999931,6.250999928,5.90899992,5.675000191,5.797999859,5.434000015,5.5,5.282000065,4.933000088,5.264999866,5.210999966,5.452000141,5.269000053,5.426000118,5.402999878,5.18200016,5.052999973,4.918000221,5.074999809,4.815000057,4.71999979,4.684999943
Azerbaijan,34.99599838,36.97299957,40.0340004,43.89799881,44.57300186,44.58599854,42.49200058,40.58100128,41.17399979,40.07099915,38.94800186,37.11999893,34.85800171,35.20999908,36.53499985,35.85599899,34.92200089,38.4129982,32.32899857,32.27199936,32.18899918,31.74799919,31.06100082,31.1989994,30.97200012,30.93799973,31.78700066
Burundi,86.48000336,87.05699921,87.46700287,86.91699982,87.20400238,88.07700348,87.20700073,87.16300201,87.28500366,87.22200012,86.96900177,86.8789978,86.85700226,86.66500092,86.65799713,86.65899658,85.96399689,86.17900085,86.16799927,85.91100311,85.97499847,85.8730011,85.65499878,85.43000031,86.10399628,85.78700256,85.88700104
Belgium,3.012000084,3.160000086,3.183000088,3.226000071,3.173000097,3.088000059,2.944000006,2.95600009,2.351000071,2.266000032,1.692999959,2.302999973,2.217999935,2.711999893,2.467999935,2.480000019,2.289000034,1.970000029,1.894000053,1.730000019,1.64199996,1.569000006,1.797999978,1.544999957,1.56400001,1.675999999,1.697999954
Benin,59.90000153,59.34600067,59.40000153,59.47299957,58.74399948,59.41699982,59.0870018,58.90399933,56.06999969,55.48300171,55.07500076,55.02299881,54.70299911,55.08399963,54.87400055,54.79999924,54.19400024,53.56100082,53.68000031,53.3429985,50.80699921,50.2879982,49.27500153,48.63899994,49.14599991,48.67100143,50.63399887
Burkina Faso,87.32900238,87.26499939,87.29299927,87.61799622,87.13400269,86.8789978,86.18000031,85.75900269,84.66500092,84.04699707,83.63500214,83.20300293,82.02799988,80.73100281,80.28900146,78.71099854,74.21700287,71.50299835,66.96800232,62.51300049,57.35900116,52.0929985,46.2140007,37.20899963,35.98199844,35.40599823,34.70999908
Bangladesh,64.24500275,64.05999756,62.65999985,62.01800156,61.63499832,59.81600189,60.57600021,60.59799957,60.64699936,60.68700027,57.24200058,53.56100082,49.58200073,45.86600113,41.98799896,41.94200134,42.14699936,42.00799942,41.62799835,40.93000031,42.8370018,42.88499832,42.04199982,38.90200043,34.70000076,32.9090004,30.61499977
Bulgaria,18.32299995,17.13800049,16.58200073,16.88100052,17.25099945,16.43000031,19.02499962,16.61400032,16.71899986,15.42000008,12.02600002,13.01799965,13.58600044,12.89299965,10.74199963,9.824999809,9.166999817,8.902000427,8.576999664,8.220000267,8.534000397,8.381999969,8.647999763,9.184000015,9.086999893,8.942000389,8.366999626
Bahrain,2.875999928,2.881999969,2.502000093,2.433000088,2.279999971,2.259000063,2.191999912,2.055000067,2.052999973,2.032000065,1.919999957,1.779999971,1.662999988,1.518000007,1.539000034,1.478999972,1.407999992,1.381000042,1.312999964,1.355999947,1.396000028,1.340999961,1.304999948,1.236999989,1.177000046,1.217000008,1.284999967
"Bahamas, The",8.522000313,8.456999779,8.930999756,8.633999825,7.150000095,8.102000237,5.46600008,5.513999939,6.757999897,6.72300005,6.782999992,5.606999874,5.190000057,8.050000191,6.343999863,4.346000195,4.156000137,4.919000149,5.05700016,5.454999924,5.461999893,5.440999985,5.327000141,5.531000137,5.734000206,5.749000072,5.895999908
Bosnia and Herzegovina,42.3390007,42.66400146,42.97299957,44.89599991,42.94300079,39.99499893,33.15599823,30.20899963,27.79199982,25.05200005,24.68099976,23.84799957,22.99500084,23.16600037,21.9090004,21.45899963,20.41699982,19.65600014,18.66900063,18.46800041,18.25600052,18.22900009,18.10899925,16.81200027,18.69000053,19.53700066,19.38199997
Belarus,26.11700058,27.30699921,26.54100037,26.34700012,28.31599998,27.46500015,25.26199913,23.88299942,23.83300018,22.92200089,21.5529995,20.94400024,19.39599991,18.03800011,17.42499924,16.27000046,15.21100044,14.15299988,14.00599957,13.52299976,12.70600033,12.7130003,12.26000023,12.31400013,12.45899963,12.82199955,12.98799992
Belize,37.58100128,33.69400024,32.16500092,30.67200089,35.31000137,37.72000122,39.43700027,33.00600052,36.39300156,34.36899948,32.98600006,31.35199928,30.05400085,28.91200066,27.77000046,26.76000023,26.22500038,25.82600021,25.51499939,24.98600006,24.33200073,23.97100067,24.02499962,23.02300072,22.65200043,22.22900009,22.81100082
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,41.18299866,40.61399841,40.14099884,40.12900162,39.41500092,38.54100037,38.64899826,36.99900055,37.12799835,40.19599915,45.63299942,44.78499985,35.5719986,35.56100082,34.60800171,36.55500031,31.39299965,31.10700035,29.57699966,29.65200043,29.3220005,28.1590004,29.25300026,30.46299934,27.53199959,27.00399971,27.10099983
Brazil,29.96299934,30.57699966,29.60400009,29.17200089,28.42900085,27.31399918,26.83799934,26.0170002,26.82699966,24.39599991,23.60499954,23.57299995,23.97400093,24.5510006,23.72599983,22.55800056,21.51600075,20.60899925,20.48699951,19.27499962,18.96699905,15.46399975,15.12899971,14.07600021,14,14.10700035,14.23400021
Barbados,6.456999779,7.992000103,6.388999939,6.100999832,5.526000023,6.131000042,6.324999809,5.131000042,5.229000092,4.122000217,4.789000034,4.879000187,5.423999786,4.144000053,4.265999794,4.46999979,3.476999998,3.058000088,3.778000116,3.709000111,4.315999985,3.404999971,3.737999916,4.383999825,4.243999958,3.858999968,3.944999933
Brunei Darussalam,2.21600008,2.217000008,2.25,2.246000051,2.204999924,2.229000092,2.226999998,2.255000114,2.197000027,2.130000114,2.063999891,1.871000051,1.64199996,1.567000031,1.457999945,1.289000034,1.182000041,1.131000042,1.024999976,0.949999988,0.862999976,0.783999979,0.72299999,0.625999987,0.649999976,0.661000013,0.593999982
