Country Name,WVS country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cameroon,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012204741,0.020800841,0.025339418,0.029649662,0.034426797,0.040290384,0.676164841,2.662691065,4.361280521,6.521809427,9.026833471,12.92999545,17.51968009,24.65835324,32.58523506,41.18926084,43.24706023,51.10324351,62.17540968,72.33502103,76.61480463,79.53162759,79.85559142
"Congo, Dem. Rep.","Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,,,,0.020434783,0.016834015,0.020305659,0.022301253,0.02614455,0.031863108,0.309953615,1.123691191,2.425032496,3.753655871,5.01556159,7.809046462,11.28427783,16.4602089,15.15565235,18.31951369,23.45080719,29.12882273,39.58703087,50.32761616,49.54653172,36.6912986
"Congo, Rep.","Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034731605,,0.111203945,0.159421288,2.170053448,4.523786977,6.509782283,9.421790431,10.64095107,15.01225175,23.87849671,32.38308193,43.90787365,69.3113215,84.77338168,86.0844101,92.44114912,98.07149188,101.2112046,104.4108792,105.8171949
Colombia,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23573238,0.733374736,1.374166148,3.272737868,4.588433897,4.938650446,5.585593867,7.966206175,11.05681639,14.67589637,24.34355004,50.47862531,67.89603009,76.48776421,92.12323077,92.82949837,96.8630146,99.55561322,104.6604421,106.2356297,115.773299,118.8658902,120.6182941
Comoros,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34292906,1.402814336,2.537984752,5.886897873,9.6792494,13.95875715,18.2095263,23.96403032,30.63225248,39.16611868,46.86446392,50.43554982,54.64019634,57.11267331
Cabo Verde,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004899859,0.244414997,1.892630517,4.534578778,7.100713069,9.49976333,11.59238243,14.06565397,17.22011855,22.64125043,31.29114091,56.46878425,58.4794039,74.0212666,78.02691377,82.74851696,96.03004003,116.5149866,114.74068,111.5642375
Costa Rica,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0.092341716,0.135677778,0.203900528,0.534047143,1.293702172,1.748352103,2.887157709,3.590229798,5.390831048,8.180148209,12.3665462,18.86341421,22.04622934,25.92622935,33.50628969,34.51721479,42.59096044,43.453737,68.82682695,90.27476299,115.5552433,151.1129417,147.5628235,156.7352531,171.5090398
Caribbean small states,Caribbean small states,0,0,0,0,0,0,0,0,0,0,0.034409379,0.096711291,0.228060986,0.400476596,0.618285881,1.073406692,1.348049706,1.699504384,2.215532694,4.03893278,11.02569391,18.55631623,31.00064132,42.5456158,54.7246557,64.50541058,82.17706959,93.96233168,103.089112,110.1905114,113.6284925,107.1858076,103.504488,108.7023844,111.0311519,113.2374307,117.1412435
Cuba,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0.002180118,0.004632145,0.010616939,0.017779134,0.022142116,0.027183626,0.036659115,0.046228606,0.058614965,0.076690366,0.159128215,0.314418511,0.672738057,1.201089696,1.351910854,1.75387022,2.93318493,5.487921565,8.850352831,11.58239914,14.77441073,17.48745878,22.12240861,29.10060453,34.74996737
Curacao,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.7157011,138.2201507,136.987775,133.805275,131.3806127,123.0378501,120.5550282,117.1129001
