Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Switzerland,,37.72200012,36.94400024,35.84500122,35.51100159,37.1269989,35.25600052,34.37099838,34.80500031,34.25299835,34.93799973,34.14400101,33.07799911,31.66399956,31.37400055,31.98800087,32.17300034,32.29299927,32.61299896,31.8579998,32.28900146,32.27199936,31.20599937,31.32799911,30.54500008,29.98999977,29.90699959,29.99099922
Channel Islands,,33.2859993,33.22700119,33.35699844,33.55099869,33.77399826,33.97000122,34.09500122,34.22100067,34.4620018,34.57400131,34.7120018,34.84899902,35.05400085,35.17300034,35.42399979,35.48600006,35.59600067,35.57899857,35.19400024,35.14199829,35.13299942,35.23500061,35.2519989,35.31200027,35.35499954,35.30799866,35.2120018
Chile,,31.31699944,31.66500092,32.48099899,31.3390007,31.42900085,32.04499817,33.50400162,31.27700043,28.80800056,28.89999962,29.36800003,29.75099945,29.3579998,29.69199944,29.03800011,29.78499985,30.44499969,30.66300011,30.73200035,31.01600075,31.82600021,32.47299957,32.82099915,32.2879982,31.56599998,31.27300072,31.02799988
China,,23.08699989,23.88899994,25.51099968,25.54700089,25.93600082,26.2689991,26.18499947,25.69099998,25.71800041,26.1760006,26.41300011,26.72400093,28.32799911,28.74900055,29.34799957,30.05599976,30.53700066,31.07799911,31.5720005,32.04399872,32.2480011,32.10200119,31.79999924,31.3939991,30.65600014,30.54599953,30.5170002
Cote d'Ivoire,,7.326000214,7.394999981,7.543000221,7.611000061,7.822999954,7.874000072,8.545000076,8.338000298,8.555999756,8.43599987,7.702000141,7.613999844,7.506999969,7.736000061,8.005999565,7.78000021,8.048999786,7.947000027,8.116999626,7.876999855,7.541999817,8.366999626,7.190000057,7.577000141,7.138999939,8.085000038,8.199000359
Cameroon,,9.531000137,9.286999702,11.25899982,11.31799984,11.24800014,10.68500042,10.85900021,11.20600033,11.47900009,11.45800018,11.55900002,11.50899982,11.53899956,11.47299957,11.44099998,11.18400002,10.38099957,10.4090004,10.97500038,11.125,10.77700043,10.88700008,10.90499973,11.08600044,11.11999989,11.27499962,11.27000046
"Congo, Dem. Rep.",,8.748000145,8.319000244,8.920999527,8.854000092,9.024999619,10.98600006,9.088000298,9.013999939,9.19699955,11.29899979,14.60400009,15.00199986,13.93099976,13.88099957,14.35200024,14.53299999,14.66300011,15.45699978,16.93600082,12.98600006,12.89900017,13.22000027,13.44499969,13.77700043,13.5,13.52700043,12.91600037
"Congo, Rep.",,22.08300018,22.2310009,21.96100044,23.72999954,23.31299973,22.97500038,21.9489994,21.91200066,22.66799927,23.4279995,23.61000061,23.3010006,24.06800079,23.85400009,23.70100021,23.55900002,23.18700027,23.47400093,24.51099968,23.91900063,23.90699959,23.97299957,24.35199928,25.57799911,25.59900093,25.70299911,25.59499931
Colombia,,21.11499977,20.79299927,21.89699936,20.80500031,20.9810009,20.34900093,19.95100021,19.79599953,18.85099983,19.01199913,19.20599937,21.29000092,20.78100014,21.87999916,21.97900009,22.58099937,22.96199989,22.87100029,22.42300034,22.27199936,24.17000008,23.78199959,22.86400032,23.67099953,23.81599998,23.64699936,23.65800095
Comoros,,15.46100044,16.82999992,16.95899963,16.60700035,16.48699951,16.43300056,16.52899933,16.69799995,16.62100029,14.97399998,15.15299988,15.42500019,15.53800011,15.59300041,15.73900032,15.79399967,15.72900009,16.15600014,16,16.02099991,16.0739994,16.24399948,16.61199951,16.84600067,16.47400093,16.65500069,16.86599922
